Word,Season #,Episode #,Ep name,Speaker,Sentence,Sort order,Episode ID,Count words,Locked
1717,1,1,Pilot script,TEXT,1717. The Golden Age of Piracy.,1,s1e1,6,TRUE
Wealthy,1,1,Pilot script,TEXT,Wealthy landowner Stede Bonnet set out to find adventure and renown on the high seas.,7,s1e1,15,TRUE
Things,1,1,Pilot script,TEXT,Things did not go as planned...,22,s1e1,6,TRUE
Oh,1,1,Pilot script,FR,"Oh, a pirate's life sounds just right. Sounds quite nice, I could say that twice. Sounds quite nice.",28,s1e1,18,FALSE
We,1,1,Pilot script,FR,"We won't live long. Fo-de-ey-de-la-ay, oh-de-lay-de-oh. Smashing, gouging, poke and choke you out, that's a pirate's life. Pirate's life, short but nice. Fo-de-ey-de-la-ay, oh-de-lay-de-oh.",46,s1e1,24,FALSE
it's,1,1,Pilot script,RO,It's your bet.,70,s1e1,3,FALSE
I,1,1,Pilot script,BP,I know it's my bet.,73,s1e1,5,FALSE
Then,1,1,Pilot script,OL,Then bet. Why are you always taking so long?,78,s1e1,9,FALSE
Fuck,1,1,Pilot script,BP,Fuck this. I'm out.,87,s1e1,4,FALSE
What,1,1,Pilot script,OL,What are you doing?,91,s1e1,4,FALSE
I,1,1,Pilot script,BP,"I didn't sign up to play cards. Weeks we've been out here with nothing to show for it. I should have twenty kills by now, at least.",95,s1e1,27,FALSE
Yeah,1,1,Pilot script,FR,"Yeah, maybe Captain's trying a new kind of... slow pirating.",122,s1e1,10,FALSE
On,1,1,Pilot script,BU,On your feet for your captain!,132,s1e1,6,FALSE
What,1,1,Pilot script,SB,What we’re about to do will be perilous. Very perilous! Some of us won’t be coming back. Others may be wounded.,138,s1e1,21,FALSE
Still,1,1,Pilot script,SB,"Still others may come back looking totally fine, but in reality be mentally devastated by what they’ve witnessed.",159,s1e1,18,FALSE
So,1,1,Pilot script,SB,"So, if that’s the case, what’ll we do? ...Anyone? Come on. It's something I've always encouraged?",177,s1e1,16,FALSE
Bottle,1,1,Pilot script,FR,Bottle it up?,193,s1e1,3,FALSE
No,1,1,Pilot script,SB,"No, Frenchie! No, that's the worst thing you could do!",196,s1e1,10,FALSE
No,1,1,Pilot script,FR,No? Sorry.,206,s1e1,2,FALSE
Other,1,1,Pilot script,SB,Other suggestions? Yes!,208,s1e1,3,FALSE
We,1,1,Pilot script,WJ,We talk about it.,211,s1e1,4,FALSE
Exactly,1,1,Pilot script,SB,"Exactly! Remember the rhyme? If someone returns from the raid mentally devastated, we talk it through...as a...?",215,s1e1,18,FALSE
crew,1,1,Pilot script,SB,...crew! Because that’s what we do here on The Revenge.,233,s1e1,10,FALSE
Approaching,1,1,Pilot script,BU,"Approaching the vessel, Cap’n!",243,s1e1,4,FALSE
Right,1,1,Pilot script,SB,"Right! This is it! Places, everyone! Look scary!",247,s1e1,8,FALSE
Ahoy,1,1,Pilot script,SB,Ahoy! Surrender! You have no chance of escape.,255,s1e1,8,FALSE
Yeah,1,1,Pilot script,SB,Yeah! That was a warning shot!,263,s1e1,6,FALSE
That's,1,1,Pilot script,WJ,That's just a couple of geezers.,269,s1e1,6,FALSE
Now,1,1,Pilot script,SB,"Now prepare to be boarded, curs!",275,s1e1,6,FALSE
Alright,1,1,Pilot script,OL,"Alright, no, just get the leg down. There you go.",281,s1e1,10,FALSE
Raid,1,1,Pilot script,SB,Raid commenced! Ooh!,291,s1e1,3,FALSE
Gosh,1,1,Pilot script,SB,"Gosh! Is it meant to be this shaky? Can you two down there just hold the bottom? Keep it straight, if you can. Ah! Thank you. My name's Stede. I'll be your robber here today. Ugh. Fish. Okay... Oh! What's back here?!",294,s1e1,42,FALSE
We're,1,1,Pilot script,ELDERLYFisherman,We're just fishermen!,336,s1e1,3,FALSE
Aha,1,1,Pilot script,SB,Aha! What's this?,339,s1e1,3,FALSE
Some,1,1,Pilot script,SB,Some men are born to be pirate captains. Others learn on the job.,342,s1e1,13,FALSE
Watch,1,1,Pilot script,SB,Watch my buttons!,355,s1e1,3,FALSE
Me,1,1,Pilot script,SB,"Me? Well, I'm a pretty solid mix of both.",358,s1e1,9,FALSE
Yes,1,1,Pilot script,SB,Yes! Tell them what happened here today!,367,s1e1,7,FALSE
Take,1,1,Pilot script,ELDERLYFisherman,Take care of the plant!,374,s1e1,5,FALSE
Adios,1,1,Pilot script,SB,Adios! Good luck with your fishing!,379,s1e1,6,FALSE
Really,1,1,Pilot script,SB,"Really fills the space, doesn’t it?",385,s1e1,6,FALSE
Yeah,1,1,Pilot script,LS,Yeah. It’s fine.,391,s1e1,3,FALSE
Now,1,1,Pilot script,SB,"Now, where was I?",394,s1e1,4,FALSE
Being,1,1,Pilot script,LS,Being a pirate captain--,398,s1e1,4,FALSE
Ah,1,1,Pilot script,SB,"Ah, yes. Now, every pirate captain captains pirates differently. Traditionally, piracy is a culture of abuse. Floggings, keel-haulings... And my thought is, why? And also, what if it weren’t like that?",402,s1e1,31,FALSE
For,1,1,Pilot script,SB,"For example, if your average pirate doesn’t steal, he doesn’t eat. That’s a lot of mental pressure.",433,s1e1,17,FALSE
So,1,1,Pilot script,SB,"So, I pay my crew a salary. Same wage every week, no matter what.",450,s1e1,14,FALSE
Of,1,1,Pilot script,SB,"Of course, took them a while to come 'round to the idea. But, I've included some amenities on the ship that I think will please them.",464,s1e1,26,FALSE
Rec,1,1,Pilot script,SB,Rec center.,490,s1e1,2,FALSE
Out,1,1,Pilot script,OL,Out!,492,s1e1,1,FALSE
What,1,1,Pilot script,BP,What IS this fucking game?! Fuck!,493,s1e1,6,FALSE
State,1,1,Pilot script,SB,State of the art ensuite.,499,s1e1,5,FALSE
Non-humans,1,1,Pilot script,SB,Non-humans.,504,s1e1,1,FALSE
Ballroom,1,1,Pilot script,SB,Ballroom.,505,s1e1,1,FALSE
Jam,1,1,Pilot script,SB,Jam room. And of course...,506,s1e1,5,FALSE
A,1,1,Pilot script,SB,"A full library! The crew’s free to borrow books whenever. So far, you’re the only one to take me up on it.",511,s1e1,22,FALSE
Well,1,1,Pilot script,LS,"Well, I’m the only crew member who can read.",533,s1e1,9,FALSE
That's,1,1,Pilot script,SB,"That’s not... Is that true? Eugh. All right, come on.",542,s1e1,10,FALSE
There,1,1,Pilot script,SB,"There it is, the spoils of battle! Woo-hoo! Congratulations on today's raid. I do have some notes, though.",552,s1e1,18,FALSE
Uh,1,1,Pilot script,SB,"Uh... Opening speech went well, very inspiring. Oh, yes. I guess the big note is, more energy! We’re swashbuckling! We're looting! Let’s have fun with it!",570,s1e1,26,FALSE
Stealing,1,1,Pilot script,BP,Stealing a plant is hardly swashbuckling.,596,s1e1,6,FALSE
Feckin,1,1,Pilot script,WJ,Feckin' disgrace is what it is.,602,s1e1,6,FALSE
What,1,1,Pilot script,SB,"What was that? Who said that? Wee John, was that you?",608,s1e1,11,FALSE
And,1,1,Pilot script,WJ,And what if it were?,619,s1e1,5,FALSE
Well,1,1,Pilot script,SB,"Well, I'd... I'd simply ask you to reframe that criticism as a suggestion. What’s one thing you’d change around here if you could?",624,s1e1,23,FALSE
We,1,1,Pilot script,WJ,"We don’t even have a flag, for one. Any pirate worth a damn has a flag.",647,s1e1,16,TRUE
Now,1,1,Pilot script,SB,"Now, each of you will create a flag. And we’ll vote on the best one, and that’ll be the official flag for The Revenge.",663,s1e1,24,FALSE
I'm,1,1,Pilot script,BP,I’m not fucking sewing. That’s women’s work.,687,s1e1,7,FALSE
Oh,1,1,Pilot script,SB,"Oh, Black Pete, come on now. You know that’s not true. How many of you sew? Be honest.",694,s1e1,18,FALSE
I,1,1,Pilot script,RO,"I sewed my shoulder up once, after I'd been stabbed.",712,s1e1,10,FALSE
Oh,1,1,Pilot script,SB,"Oh. Did you hear that, guys? Roach sewed his own arm up! Sounds to me like sewing can be pretty tough. So, grab a piece of fabric and have at it! Express yourselves!",722,s1e1,33,FALSE
Oh,1,1,Pilot script,SB,"Oh, that's very good.",755,s1e1,4,FALSE
Thank,1,1,Pilot script,OL,Thank you.,759,s1e1,2,FALSE
What,1,1,Pilot script,SB,What is it?,761,s1e1,3,FALSE
It's,1,1,Pilot script,OL,"It's like a flag extender, so it flaps.",764,s1e1,8,FALSE
Oh,1,1,Pilot script,SB,"Oh, it'll blow in the wind.",772,s1e1,6,FALSE
Yeah,1,1,Pilot script,OL,Yeah.,778,s1e1,1,FALSE
Interesting,1,1,Pilot script,SB,Interesting. Okay.,779,s1e1,2,FALSE
Such,1,1,Pilot script,WJ,Such beautiful material.,781,s1e1,3,FALSE
Well,1,1,Pilot script,SB,"Well, don't you look holy.",784,s1e1,5,FALSE
Thank,1,1,Pilot script,WJ,Thank you. I used to make dresses with my mother.,789,s1e1,10,FALSE
And,1,1,Pilot script,SB,And now you're a pirate!,799,s1e1,5,FALSE
A,1,1,Pilot script,SB,A lot of the guys are sweethearts deep down.,804,s1e1,9,FALSE
They're,1,1,Pilot script,SB,They’re just dealing with a fair amount of trauma.,813,s1e1,9,FALSE
So,1,1,Pilot script,SB,"So, first of all, he should've asked. And second of all, what could you do with your large bit of fabric?",822,s1e1,21,FALSE
Talk,1,1,Pilot script,SW,Talk about it?,843,s1e1,3,FALSE
No,1,1,Pilot script,SB,"No, shared. You could've shared it.",846,s1e1,6,FALSE
Creative,1,1,Pilot script,SB,Creative projects give them a chance to work through it. And maybe even share a bit of what’s going on inside.,852,s1e1,21,FALSE
Welp,1,1,Pilot script,BP,"Welp, guess it’s time.",873,s1e1,4,FALSE
For,1,1,Pilot script,OL,For what?,877,s1e1,2,FALSE
To,1,1,Pilot script,BP,To kill Captain.,879,s1e1,3,FALSE
Hey,1,1,Pilot script,FR,"Hey, come on, mate. I'm gonna have to sew that up now.",882,s1e1,12,FALSE
Sorry,1,1,Pilot script,BP,"Sorry, sorry.",894,s1e1,2,FALSE
If,1,1,Pilot script,SB,"If I can help this crew grow, as people, then I’ve succeeded as a pirate Captain.",896,s1e1,16,FALSE
A,1,1,Pilot script,BU,"A word, Cap’n?",912,s1e1,3,FALSE
Oh,1,1,Pilot script,SB,"Oh, yes! Mr. Buttons! What’s on your mind? Everything good?",915,s1e1,10,FALSE
Everything,1,1,Pilot script,BU,Everything is not good. Mutiny is a-brewin'.,925,s1e1,7,FALSE
Mutiny,1,1,Pilot script,SB,Mutiny? Really?,932,s1e1,2,FALSE
Been,1,1,Pilot script,BU,Been on many-a ship 'n the nose never lies.,934,s1e1,8,FALSE
Stop,1,1,Pilot script,SB,Stop writing! I mean it! Lucius!,942,s1e1,6,FALSE
Sorry,1,1,Pilot script,LS,"Sorry, I’m confused. You said to record everything, warts and all, so that's what I'm doing.",948,s1e1,16,FALSE
